packet_count,byte_count,connection_count,packet_rate,byte_rate,avg_packet_size,unique_dst_ports,unique_dst_ips,proto_tcp_ratio,proto_udp_ratio,proto_icmp_ratio,mqtt_ratio,label
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
5,1405,5,0.5,140.5,281.0,1,1,1.0,0.0,0.0,0.0,normal
50,9380,50,5.0,938.0,187.6,1,10,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
43,5580,43,4.3,558.0,129.7674418604651,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
855,55167,855,85.5,5516.7,64.52280701754385,2,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,1,1,1.0,0.0,0.0,0.0,normal
17,5412,17,1.7,541.2,318.3529411764706,1,1,1.0,0.0,0.0,0.0,normal
570,2480486,570,57.0,248048.6,4351.729824561404,1,8,1.0,0.0,0.0,0.0,normal
9,6462,9,0.9,646.2,718.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,1,1,1.0,0.0,0.0,0.0,normal
896,57570,896,89.6,5757.0,64.25223214285714,3,1,1.0,0.0,0.0,0.0,normal
2,171,2,0.2,17.1,85.5,1,1,1.0,0.0,0.0,0.0,normal
1,66,1,0.1,6.6,66.0,1,1,1.0,0.0,0.0,0.0,normal
563,2789756,563,56.3,278975.6,4955.161634103019,3,8,0.9982238010657194,0.0017761989342806395,0.0,0.0,normal
1,345,1,0.1,34.5,345.0,1,1,0.0,1.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
1,177,1,0.1,17.7,177.0,1,1,1.0,0.0,0.0,0.0,normal
5,361,5,0.5,36.1,72.2,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
710,55461,710,71.0,5546.1,78.11408450704225,3,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,447,2,0.2,44.7,223.5,1,1,1.0,0.0,0.0,0.0,normal
385,2150204,385,38.5,215020.4,5584.945454545455,1,6,1.0,0.0,0.0,0.0,normal
3,239,3,0.3,23.9,79.66666666666667,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,93,1,0.1,9.3,93.0,1,1,1.0,0.0,0.0,0.0,normal
854,46838,854,85.4,4683.8,54.84543325526932,2,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,93,1,0.1,9.3,93.0,1,1,1.0,0.0,0.0,0.0,normal
6,2015,6,0.6,201.5,335.8333333333333,1,1,1.0,0.0,0.0,0.0,normal
629,2541387,629,62.9,254138.7,4040.3608903020668,1,8,1.0,0.0,0.0,0.0,normal
10,3064,10,1.0,306.4,306.4,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,177,1,0.1,17.7,177.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
826,55876,826,82.6,5587.6,67.64648910411623,3,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
499,2565001,499,49.9,256500.1,5140.28256513026,1,5,1.0,0.0,0.0,0.0,normal
6,1656,6,0.6,165.6,276.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,80,1,0.1,8.0,80.0,1,1,1.0,0.0,0.0,0.0,normal
173,23367,173,17.3,2336.7,135.0693641618497,2,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
135,566277,135,13.5,56627.7,4194.644444444444,1,7,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,93,1,0.1,9.3,93.0,1,1,1.0,0.0,0.0,0.0,normal
1,177,1,0.1,17.7,177.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1441,84218,1441,144.1,8421.8,58.4441360166551,2,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
7,5771,7,0.7,577.1,824.4285714285714,1,1,0.0,1.0,0.0,0.0,normal
14,4138,14,1.4,413.8,295.57142857142856,1,1,1.0,0.0,0.0,0.0,normal
858,4511026,858,85.8,451102.6,5257.606060606061,1,7,0.993006993006993,0.006993006993006993,0.0,0.0,normal
11,5074,11,1.1,507.4,461.27272727272725,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
893,65875,893,89.3,6587.5,73.76819708846584,3,1,1.0,0.0,0.0,0.0,normal
12,4871,12,1.2,487.1,405.9166666666667,1,1,1.0,0.0,0.0,0.0,normal
9,2733,9,0.9,273.3,303.6666666666667,1,1,1.0,0.0,0.0,0.0,normal
2,171,2,0.2,17.1,85.5,1,1,1.0,0.0,0.0,0.0,normal
536,2682374,536,53.6,268237.4,5004.429104477612,1,6,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
